# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,
hubpayment-apps-cluster,s1,0,0,0,5,,122,253412,2140156,,0,,0,0,0,0,UP,1,1,0,15,3,24143,61,,1,16,1,,2,,2,0,,25,L4OK,,2,0,78,5,39,0,0,0,,,,0,0,,,,,17365,,,0,1,20,593,
hubpayment-apps-cluster,BACKEND,0,0,0,5,300,122,253412,2140156,0,0,,0,0,0,0,UP,1,1,0,,3,24143,61,,1,16,0,,2,,1,0,,25,,,,0,78,5,39,0,0,,,,,0,0,0,0,0,0,17365,,,0,1,20,593,
vta-servers,s1,0,0,0,10,,11527,66962700,498130353,,0,,0,0,0,0,UP,1,1,0,0,0,200989,0,,1,17,1,,562,,2,0,,71,L4OK,,0,0,6742,4184,598,1,0,0,,,,39,0,,,,,18,,,0,0,63,2616,
vta-servers,BACKEND,0,0,0,10,300,11527,66962700,498130353,0,0,,0,0,0,0,UP,1,1,0,,0,200989,0,,1,17,0,,562,,1,0,,71,,,,0,6742,4184,598,1,2,,,,,39,0,0,0,0,0,18,,,0,0,63,2616,
vta-dev-servers,s1,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,0,0,200989,0,,1,18,1,,0,,2,0,,0,L4OK,,0,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
vta-dev-servers,BACKEND,0,0,0,0,300,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,0,200989,0,,1,18,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
ditkapel-app-servers,s1,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,2017,7,24139,89,,1,19,1,,0,,2,0,,0,L7OK,200,12,0,0,0,0,0,0,0,,,,0,0,,,,,-1,HTTP status check returned code <200>,,0,0,0,0,
ditkapel-app-servers,BACKEND,0,0,0,0,300,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,7,24139,89,,1,19,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
angudol-app-servers,s1,0,0,0,1,,17,5682,10259,,0,,0,0,0,0,UP,1,1,0,17,4,24142,62,,1,20,1,,10,,2,0,,2,L4OK,,2,0,0,17,0,0,0,0,,,,0,0,,,,,4783,,,0,1,1,21,
angudol-app-servers,BACKEND,0,0,0,1,300,17,5682,10259,0,0,,0,0,0,0,UP,1,1,0,,4,24142,62,,1,20,0,,10,,1,0,,2,,,,0,0,17,0,0,0,,,,,0,0,0,0,0,0,4783,,,0,1,1,21,
other-haproxy-servers,s1,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,15,3,24143,61,,1,21,1,,0,,2,0,,0,L4OK,,0,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
other-haproxy-servers,BACKEND,0,0,0,0,300,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,3,24143,61,,1,21,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
pentest-servers,s1,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,0,0,200989,0,,1,22,1,,0,,2,0,,0,L4OK,,0,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
pentest-servers,BACKEND,0,0,0,0,300,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,0,200989,0,,1,22,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
